"SiteName","SiteID","PrimaryUse","Borough","AreaHa","Easting","Northing","Qualifier","DataSource","DataVersion","ReleaseDate","Copyright"
"Alice Owen Playing Field","OS_Ba_0004","Playing fields","Barnet",3.7296,526771,194329,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Arkley South Fields","OS_Ba_0010","Playing fields","Barnet",94.2257,522575,195230,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Arrandene Open Space","OS_Ba_0012","Amenity green space","Barnet",24.5138,522633,191981,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Avenue House Grounds","OS_Ba_0014","Park","Barnet",4.0571,525213,190275,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Avondale Ave Park","OS_Ba_0015","Park","Barnet",1.3011,527794,194477,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Barnet Playing Fields","OS_Ba_0022","Playing fields","Barnet",14.1070,525220,195380,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Basing Hill Park","OS_Ba_0024","Park","Barnet",2.6399,524428,187026,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Big Wood","OS_Ba_0029","Public woodland","Barnet",7.2606,525570,188738,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Bittacy Hill Park","OS_Ba_0032","Park","Barnet",2.6715,523708,191715,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Bounds Green Brook (Barnet)","OS_Ba_0035","River","Barnet",1.6966,528448,191589,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Brent Green","OS_Ba_0039","Amenity green space","Barnet",0.2185,523556,188741,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Brunswick Park East","OS_Ba_0048","Park","Barnet",4.0041,528642,193884,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Brunswick Park Rd Recreation Ground","OS_Ba_0050","Recreation ground","Barnet",5.7784,528395,193003,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
