Borough,OpenSpaceArea_m2,TotalArea_m2,Canopy_m2
Barking and Dagenham,7093279.88,37780666.8,6797237.6
Barnet,12533165.5,86736442.0,23964975.47
Bexley,11389445.38,64265982.1,9211644.48
Brent,5723866.62,43235289.0,7861226.83
Bromley,16145640.0,150153774.1,35409705.05
Camden,4650307.5,21796073.8,6141699.02
City of London,233755.5,3151461.0,74659.46
Croydon,15070960.0,86519217.5,20106728.29
Ealing,7794997.12,55525690.3,10735819.22
Enfield,15275256.25,82171064.3,15842201.56
Greenwich,10124401.88,50377920.9,8745145.47
Hackney,3573047.67,19064164.5,4307413.59
Hammersmith and Fulham,3767896.01,17161027.9,2077278.61
Haringey,4651694.75,29589076.6,7529979.08
Harrow,5930732.0,50469624.0,13886940.41
Havering,17564278.38,114475170.0,28466753.34
Hillingdon,15519103.62,115701485.0,25115975.94
Hounslow,13407118.51,56594565.5,9387801.87
Islington,1073801.5,14859900.2,3310739.24
Kensington and Chelsea,1360512.12,12389706.3,2089113.43
Kingston upon Thames,3236839.67,37247341.8,7119396.46
Lambeth,4177229.88,27252897.5,4327298.84
Lewisham,4285480.5,35314912.8,6121786.1
Merton,9148770.5,37609235.9,8720439.93
Newham,6782001.3,38676363.8,6025392.58
Redbridge,12673633.0,56434390.7,12852185.6
Richmond upon Thames,22749194.38,58768325.0,13968472.16
Southwark,4838813.38,29897307.7,5366870.13
Sutton,5152350.17,43850362.0,7356981.88
Tower Hamlets,4502788.13,21566451.4,2777635.31
Waltham Forest,10261364.17,38815192.8,10199361.56
Wandsworth,8814111.18,35220011.7,6406223.84
Westminster,5431160.51,22029963.4,3561624.73
